Designator,Footprint,Quantity,Value,LCSC Part #,
"C1, C2, C5",603,3,10u,C1691,
"C10, C8, C9",603,3,100n,C1591,
"C11, C12",603,2,1u,C1592,
C3,603,1,4u7,C1705,
C4,603,1,22u,IGNORE,
"C6, C7",603,3,22u,C59461,
D1,603,1,WHITE,C84265,
D2,603,1,RED,C264473,
D3,603,1,GREEN,C965804,
J1,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,BAT,C295747,
J2,JST_GH_SM05B-GHS-TB_1x05-1MP_P1.25mm_Horizontal,1,JST GH,C189896,
J3,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0,C2765186,
L1,603,1,2u2,C285966,
L2,805,1,1uH,C433051,
"R1, R12, R2, R3",603,4,1k,C21190,
"R10, R11, R15, R7, R8",603,5,150k,C22807,
R13,603,1,112.5k,C25808,
R14,603,1,680k,C25822,
R16,603,1,0r5,C45312,
"R17, R18, R19, R20, R21, R4, R5",603,7,5k1,C23186,
R6,603,1,2r,C22977,
R9,603,1,51k,C23196,
SW1,SW_SPDT_PCM12,1,SW_SPDT,C109335,
SW2,SW_SPST_B3U-1000P,1,SW_SPST,C231329,
"U1, U2",SOT-363_SC-70-6,2,SMF05CT1G,C15879,
U3,SOT-23-5,1,M3406,C83224,
U4,HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm,1,IP2312,C605433,
U5,Bosch_LGA-14_3x2.5mm_P0.5mm,1,LSM6DSV,IGNORE,
U6,MODULE_ESP32-C3-WROOM-02-H4,1,ESP32-C3-WROOM-02-N4,C2934560,
